codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5832315,ESTAGIO,1628-CENOP ATACADO E COMEX CURITIBA,,Comunicação,,1000,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 1110.12}]","Bancos múltiplos, com carteira comercial","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Portão', 'complemento': None, 'cep': None, 'cidade': 'Curitiba', 'uf': 'PR'}",A_COMBINAR,,,"['Apoiar na criação de apresentações', 'Apoiar com a compreensão de textos e habilidade redacional;', 'Demais atividades relacionadas à área de estudo do curso frequentado pelo estagiário']","{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13306639/1.PNG,PR,Curitiba,4106902
5832137,ESTAGIO, ,,Comunicação,,1000,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 1110.12}]",Outras atividades de serviços financeiros não especificadas anteriormente,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Rebouças', 'complemento': None, 'cep': None, 'cidade': 'Curitiba', 'uf': 'PR'}",A_COMBINAR,,,['Realizar a participação em reuniões internas e externas'],"{'semestreInicio': 1, 'semestreFinal': 7, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13306639/1.PNG,PR,Curitiba,4106902
5831163,ESTAGIO,1628-CENOP ATACADO E COMEX CURITIBA,,Administrativa,,1000,2,Mensal,FIXO,,,,,,,"[{'codigo': 64, 'beneficio': 'Auxílio alimentação mensal', 'valor': 1110.12}]","Bancos múltiplos, com carteira comercial","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Portão', 'complemento': None, 'cep': None, 'cidade': 'Curitiba', 'uf': 'PR'}",A_COMBINAR,,,"['Controle e organização de material', 'Elaboração e atualização de planilhas Excel e relatórios diversos', 'Atividades administrativas variadas']","{'semestreInicio': 1, 'semestreFinal': 5, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13306639/1.PNG,PR,Curitiba,4106902
5830835,ESTAGIO,SERPRO SEDE,,Informática,,1860,1,Mensal,FIXO,,,,,,,[],"Suporte técnico, manutenção e outros serviços em tecnologia da informação","{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Bom Retiro', 'complemento': None, 'cep': None, 'cidade': 'Curitiba', 'uf': 'PR'}",A_COMBINAR,,,"['Auxilio no levantamento de requisitos e regras de negocio', 'Elaborar documentos de requisitos para .pedidos de alteração. ou .pedido de correção. da solução da empresa', 'Elaborar documentos de requisitos funcionais']","{'semestreInicio': 5, 'semestreFinal': 7, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13613068/logo serpro.png,PR,Curitiba,4106902
