codigoVaga,tipoVaga,nomeEmpresa,areaAtuacao,areaProfissional,salario,bolsaAuxilio,quantidadeBeneficios,tipoAuxilioBolsa,tipoValorBolsa,tipoSalarioValor,tipoSalario,bolsaAuxilioDe,bolsaAuxilioAte,salarioDe,salarioAte,beneficios,descricao,local,tipoHorario,horarioEntrada,horarioSaida,atividades,requisitos,nivelEscolar,logo,UF_Coleta,Municipio_Coleta,Codigo_IBGE_Coleta
5810419,ESTAGIO,REGIONAL FLORIANOPOLI-SC,,Informática,,1860.0,1,Mensal,FIXO,,,,,,,[],Consultoria em tecnologia da informação,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Monte Verde', 'complemento': None, 'cep': None, 'cidade': 'Florianópolis', 'uf': 'SC'}",DEFINIDO,10:00:00,16:15:00,"['abrir demandas internas e especificas para área de Infraestrutura do SERPRO e acompanhar o andamento delas; cobrar as áreas do SERPRO sobre o andamento de incidentes e falhas nos sistemas;', 'Acompanhar atividades planejadas pelo supervisor', 'A gestão de incidentes em TI é um conjunto de boas práticas que visam a manutenção, operação e infraestrutura dos serviços de TI', 'Prestar atendimento no suporte do sistema, apoiar na administração de solicitações de chamados e problemas, realizar testes e identificar soluções de problemas.']","{'semestreInicio': 2, 'semestreFinal': 4, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13613068/logo serpro.png,SC,Florianópolis,4205407
5798709,ESTAGIO,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA – INCRA,,Geomática,,787.98,1,Mensal,FIXO,,,,,,,[],Administração pública em geral,"{'tipoLogradouro': None, 'endereco': None, 'numero': None, 'bairro': 'Presidente Médici', 'complemento': None, 'cep': None, 'cidade': 'Chapecó', 'uf': 'SC'}",A_COMBINAR,,,"['Leitura e levantamento de dados presentes nos processos de regularização fundiária para auxiliar os técnicos na elaboração de pareceres; Entre outros', 'medição de serviços em campo;', 'Elaboração de mapas com soDware QGIS Manipulação de planilhas Interpolação de dados QGIS apresentar conhecimento em CAD e SIG', 'cálculo das áreas de terreno e controle de rede.']","{'semestreInicio': 1, 'semestreFinal': 10, 'escolas': None}",SU,https://kairosdoc.s3.us-east-1.amazonaws.com/uploads/documentos/13855515/incra-1 (1).png,SC,Chapecó,4204202
